Indicators,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Total Population (year-end)(10000 persons),141175,141260,141212,141008,140541,140011,139232,138326,137646,136726
Male Population(10000 persons),72206,72311,72357,72039,71864,71650,71307,70857,70522,70063
Female Population(10000 persons),68969,68949,68855,68969,68677,68361,67925,67469,67124,66663
Urban Population(10000 persons),92071,91425,90220,88426,86433,84343,81924,79302,76738,74502
Rural Population(10000 persons),49104,49835,50992,52582,54108,55668,57308,59024,60908,62224
